document,topic_id,topic_label,topic_proportion
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,3,Perimeter shot with defender contact,0.26395534290271133
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,9,Guard-driven shot with defensive pressure,0.19696969696969696
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,8,Marginal contact & non-call assessment,0.08692185007974482
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,6,Off-ball or weak-side contact,0.06299840510366826
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,1,Shot attempt with incidental contact,0.06299840510366826
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,11,General shooting foul situation,0.058213716108452954
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,7,Post-play physical contact,0.058213716108452954
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,2,Replay review and ruling outcome,0.058213716108452954
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,10,Wing isolation or drive play,0.04385964912280702
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,5,Screen-related offensive contact,0.039074960127591714
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,4,Drive or shot contested by defender,0.0342902711323764
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170120PORPHI.txt,0,Close-range contact near the basket,0.0342902711323764
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,11,General shooting foul situation,0.3160095579450418
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,3,Perimeter shot with defender contact,0.19414575866188769
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,2,Replay review and ruling outcome,0.08661887694145759
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,1,Shot attempt with incidental contact,0.061529271206690564
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,8,Marginal contact & non-call assessment,0.05794504181600956
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,0,Close-range contact near the basket,0.05436081242532856
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,10,Wing isolation or drive play,0.050776583034647556
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,7,Post-play physical contact,0.04719235364396655
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,5,Screen-related offensive contact,0.04360812425328555
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,9,Guard-driven shot with defensive pressure,0.029271206690561533
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,6,Off-ball or weak-side contact,0.029271206690561533
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170512BOSWAS.txt,4,Drive or shot contested by defender,0.029271206690561533
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,10,Wing isolation or drive play,0.2892628205128205
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,7,Post-play physical contact,0.2844551282051282
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,11,General shooting foul situation,0.07291666666666667
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,8,Marginal contact & non-call assessment,0.05849358974358975
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,6,Off-ball or weak-side contact,0.048878205128205135
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,2,Replay review and ruling outcome,0.044070512820512824
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,0,Close-range contact near the basket,0.044070512820512824
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,4,Drive or shot contested by defender,0.03926282051282052
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,3,Perimeter shot with defender contact,0.03445512820512821
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,1,Shot attempt with incidental contact,0.03445512820512821
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,9,Guard-driven shot with defensive pressure,0.0296474358974359
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20170125TORMEM.txt,5,Screen-related offensive contact,0.020032051282051284
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,0,Close-range contact near the basket,0.23217726396917146
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,10,Wing isolation or drive play,0.22639691714836221
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,9,Guard-driven shot with defensive pressure,0.20327552986512523
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,4,Drive or shot contested by defender,0.06454720616570328
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,3,Perimeter shot with defender contact,0.058766859344894035
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,11,General shooting foul situation,0.041425818882466284
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,1,Shot attempt with incidental contact,0.041425818882466284
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,6,Off-ball or weak-side contact,0.029865125240847785
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,2,Replay review and ruling outcome,0.029865125240847785
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,8,Marginal contact & non-call assessment,0.024084778420038536
file:/Users/ziyingzhao/Desktop/Mallet%20project/docs/20151118BKNCHA.txt,7,Post-play physical contact,0.024084778420038536
